City_ID,City,Country,Max Temperature,Current Description,Lat,Lng,Hotel Name
145,Souillac,MU,83.35,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
146,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
148,Hue,VN,75.31,few clouds,16.4667,107.6,Saigon Morin Hotel
153,Vao,NC,79.09,light rain,-22.6667,167.4833,Hotel Kou-Bugny
154,Bluefields,NI,76.59,clear sky,12.0137,-83.7635,Nicaraguan Typical House Downtown
159,Port Augusta,AU,71.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
166,Tarime,TZ,72.73,overcast clouds,-1.35,34.3667,Kifa Best Point Hotel
178,Makakilo City,US,70.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
179,Kavaratti,IN,81.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
182,Carauari,BR,75.74,overcast clouds,-4.8828,-66.8958,Hotel Fellip
183,Dingle,PH,76.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
188,Buala,SB,78.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
192,Nuquí,CO,78.78,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
198,São João da Ponte,BR,79.39,scattered clouds,-15.9292,-44.0078,Hotel da Cidade
199,Ocós,GT,83.32,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
200,Sur,OM,72.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
201,Port-Gentil,GA,80.98,broken clouds,-0.7193,8.7815,Fengshui Residence
203,Ariquemes,BR,74.77,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
204,Jizan,SA,85.59,few clouds,17.3333,42.6667,شهدان. ابوالحجر
206,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
208,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
210,Kudahuvadhoo,MV,80.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
211,Grand-Santi,GF,83.3,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
212,Popondetta,PG,74.73,overcast clouds,-8.7537,148.2534,Timos Transit House
213,Jacareacanga,BR,74.7,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
