City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Yar-Sale,RU,2022-01-25 10:04:15,66.8333,70.8333,5.18,94,41,16.22
148,Yepocapa,GT,2022-01-25 10:04:15,14.5042,-90.9569,59.79,91,1,4.27
149,Luwingu,ZM,2022-01-25 10:04:15,-10.2621,29.9271,72.57,75,98,4.92
150,Namatanai,PG,2022-01-25 10:04:16,-3.6667,152.4333,81.14,79,76,3.51
151,Harnosand,SE,2022-01-25 10:04:16,62.6323,17.9379,33.01,69,7,15.03
152,Sangolqui,EC,2022-01-25 10:04:17,-0.3341,-78.4522,56.34,93,100,2.35
153,Flin Flon,CA,2022-01-25 10:04:17,54.7682,-101.865,-22.07,96,6,5.39
154,Norman Wells,CA,2022-01-25 10:04:17,65.282,-126.8329,16.79,96,100,3.89
155,Cabedelo,BR,2022-01-25 10:02:47,-6.9811,-34.8339,81.68,68,74,10.38
156,Khash,IR,2022-01-25 10:04:18,28.2211,61.2158,58.17,12,0,5.35
157,Vigrestad,NO,2022-01-25 10:04:18,58.5667,5.7,38.59,91,100,7.49
158,Sisimiut,GL,2022-01-25 10:04:18,66.9395,-53.6735,17.11,79,100,25.95
159,Punta De Piedra,VE,2022-01-25 10:04:19,7.6176,-71.4916,71.98,66,83,2.89
160,Lixourion,GR,2022-01-25 10:04:19,38.2019,20.4314,44.6,36,0,14.97
161,Mar Del Plata,AR,2022-01-25 10:04:19,-38.0023,-57.5575,73.87,93,66,5.01
162,Chokurdakh,RU,2022-01-25 10:04:20,70.6333,147.9167,-23.94,100,97,5.55
163,Mogadishu,SO,2022-01-25 10:04:20,2.0371,45.3438,84.09,59,29,26.04
164,Pokhara,NP,2022-01-25 10:03:02,28.2333,83.9833,61.84,41,53,4.54
165,Mackenzie,CA,2022-01-25 10:04:21,55.2999,-123.1698,28.49,98,100,3.13
166,Letpadan,MM,2022-01-25 10:04:21,17.7833,95.75,86.83,24,0,4.09
167,Sao Felix Do Xingu,BR,2022-01-25 10:04:21,-6.6447,-51.995,69.73,100,100,0.29
168,Amga,RU,2022-01-25 10:04:22,60.8953,131.9608,-11.6,99,99,2.35
169,Vestmannaeyjar,IS,2022-01-25 10:04:22,63.4427,-20.2734,38.39,93,75,51.79
170,Sumenep,ID,2022-01-25 10:04:22,-7.0167,113.8667,82.18,83,53,17.4
171,Agadez,NE,2022-01-25 10:04:23,19.75,10.25,61.18,23,0,14.99
172,Ranong,TH,2022-01-25 10:04:23,9.9658,98.6348,83.68,63,60,6.42
173,Nikolskoye,RU,2022-01-25 10:04:24,59.7035,30.7861,33.69,93,94,7.65
174,New Norfolk,AU,2022-01-25 10:04:24,-42.7826,147.0587,62.74,65,19,1.99
175,Edremit,TR,2022-01-25 10:00:21,39.5961,27.0244,34.56,70,64,14.85
176,Lusambo,CD,2022-01-25 10:04:24,-4.9667,23.45,73.74,90,100,2.46
177,Quang Ngai,VN,2022-01-25 10:04:25,15.1167,108.8,76.78,84,35,3.53
178,Una,IN,2022-01-25 10:04:25,20.8167,71.0333,75.45,26,0,7.27
179,Kushalgarh,IN,2022-01-25 10:04:26,23.199,74.4507,71.33,22,0,5.41
180,Cherskiy,RU,2022-01-25 10:04:26,68.75,161.3,-37.59,100,99,5.64
181,Paveh,IR,2022-01-25 10:04:26,35.0434,46.3565,36.84,85,2,5.06
182,Mahebourg,MU,2022-01-25 10:04:27,-20.4081,57.7,84.25,54,94,15.5
183,Hasaki,JP,2022-01-25 10:05:27,35.7333,140.8333,41.4,64,100,7.78
184,Sovetskiy,RU,2022-01-25 10:05:27,61.3614,63.5842,17.67,95,100,5.66
185,Provideniya,RU,2022-01-25 10:05:28,64.3833,-173.3,-8.43,99,100,1.19
186,Meulaboh,ID,2022-01-25 10:05:28,4.1363,96.1285,83.37,70,86,8.12
187,Isangel,VU,2022-01-25 10:05:29,-19.55,169.2667,81.36,81,16,4.83
188,Lebu,CL,2022-01-25 10:02:07,-37.6167,-73.65,55.2,92,12,8.75
189,Cabo San Lucas,MX,2022-01-25 10:04:20,22.8909,-109.9124,65.52,78,2,2.04
190,Uthal,PK,2022-01-25 10:05:29,25.8072,66.6219,70.95,13,0,4.03
191,Joshimath,IN,2022-01-25 10:05:30,30.5667,79.5667,44.64,62,25,5.79
192,State College,US,2022-01-25 10:02:30,40.7934,-77.86,34.99,80,100,5.75
193,Nhulunbuy,AU,2022-01-25 10:05:30,-12.2333,136.7667,81.21,89,100,6.91
194,Dongying,CN,2022-01-25 10:05:31,37.4564,118.4856,35.01,59,52,6.42
195,Ainazi,LV,2022-01-25 10:05:31,57.8636,24.3578,33.37,87,66,6.29
196,Springbok,ZA,2022-01-25 10:05:31,-29.6643,17.8865,89.65,23,0,7.38
197,Tuatapere,NZ,2022-01-25 10:05:32,-46.1333,167.6833,58.82,92,49,1.81
198,Valparaiso,CL,2022-01-25 10:05:32,-33.0393,-71.6273,58.12,87,0,2.3
199,Hermanus,ZA,2022-01-25 10:05:33,-34.4187,19.2345,82.9,73,100,13.2
200,Aquiraz,BR,2022-01-25 10:02:09,-3.9014,-38.3911,81.21,76,95,4.34
201,Tres Arroyos,AR,2022-01-25 10:05:33,-38.3739,-60.2798,64.26,70,99,6.15
202,Angoche,MZ,2022-01-25 10:05:34,-16.2325,39.9086,85.73,69,97,14.14
